Date,Day-Confirmed,Day-Deaths,Day-Recovered
2020-03-06,6,0.0,0.0
2020-03-07,4,0.0,1.0
2020-03-08,3,0.0,0.0
2020-03-09,3,0.0,0.0
2020-03-12,6,0.0,0.0
2020-03-13,11,0.0,0.0
2020-03-14,14,0.0,0.0
2020-03-15,4,0.0,0.0
2020-03-16,30,0.0,2.0
2020-03-17,21,0.0,1.0
2020-03-18,33,0.0,0.0
2020-03-19,52,0.0,8.0
2020-03-20,54,0.0,1.0
2020-03-22,61,0.0,0.0
2020-03-23,71,0.0,2.0
2020-03-24,57,0.0,5.0
2020-03-25,163,0.0,6.0
2020-03-26,182,2.0,6.0
2020-03-27,196,1.0,8.0
2020-03-28,228,0.0,6.0
2020-03-29,270,8.0,18.0
2020-03-30,302,1.0,6.0
2020-03-31,500,7.0,57.0
2020-04-01,440,8.0,70.0
2020-04-02,771,4.0,39.0
2020-04-03,601,4.0,54.0
2020-04-04,582,8.0,52.0
2020-04-05,658,2.0,17.0
2020-04-06,954,5.0,65.0
2020-04-07,1154,8.0,71.0
2020-04-08,1175,5.0,94.0
2020-04-09,1459,13.0,99.0
2020-04-10,1786,16.0,87.0
2020-04-11,1667,12.0,252.0
2020-04-12,2186,25.0,242.0
2020-04-13,2558,17.0,173.0
2020-04-14,2774,23.0,224.0
2020-04-15,3388,26.0,283.0
2020-04-16,3448,34.0,304.0
2020-04-17,4070,38.0,279.0
2020-04-18,4785,37.0,451.0
2020-04-19,6060,48.0,220.0
2020-04-20,4268,42.0,147.0
2020-04-21,5642,49.0,431.0
2020-04-22,5236,55.0,534.0
2020-04-23,4774,42.0,450.0
2020-04-24,5849,57.0,659.0
2020-04-25,5966,65.0,667.0
2020-04-26,6361,62.0,508.0
2020-04-27,6198,50.0,582.0
2020-04-28,6411,72.0,1125.0
2020-04-29,5841,105.0,1770.0
2020-04-30,7099,100.0,1272.0
2020-05-01,7933,91.0,1632.0
2020-05-02,9623,56.0,1756.0
2020-05-03,10633,58.0,1620.0
2020-05-04,10581,75.0,1455.0
2020-05-05,10102,95.0,1770.0
2020-05-06,10559,86.0,1462.0
2020-05-07,11231,88.0,2476.0
2020-05-08,10699,98.0,2805.0
2020-05-09,10817,104.0,5308.0
2020-05-10,11012,88.0,2390.0
2020-05-11,11656,94.0,5495.0
2020-05-12,10899,107.0,3711.0
2020-05-13,10028,96.0,4491.0
2020-05-14,9974,93.0,5527.0
2020-05-15,10598,113.0,4696.0
2020-05-16,9200,119.0,4940.0
2020-05-17,9709,94.0,4207.0
2020-05-18,8926,91.0,2836.0
2020-05-19,9263,115.0,5921.0
2020-05-20,8764,129.0,9173.0
2020-05-21,8849,127.0,7289.0
2020-05-22,8894,150.0,7144.0
2020-05-23,9434,139.0,8111.0
2020-05-24,8599,153.0,5363.0
2020-05-25,8946,92.0,5499.0
2020-05-26,8915,174.0,12331.0
2020-05-27,8338,161.0,11079.0
2020-05-28,8371,174.0,8785.0
2020-05-29,8572,232.0,8264.0
2020-05-30,8952,181.0,8212.0
2020-05-31,9268,138.0,4414.0
2020-06-01,9035,162.0,3994.0
2020-06-02,8863,182.0,11108.0
2020-06-03,8536,178.0,8972.0
2020-06-04,8831,169.0,8666.0
2020-06-05,8726,144.0,8057.0
2020-06-06,8855,197.0,8708.0
2020-06-07,8984,134.0,5343.0
2020-06-08,8985,112.0,3957.0
2020-06-09,8595,171.0,11709.0
2020-06-10,8404,216.0,10386.0
2020-06-11,8779,174.0,8367.0
2020-06-12,8987,183.0,8220.0
2020-06-13,8706,114.0,5271.0
2020-06-14,8246,119.0,5409.0
2020-06-15,8835,143.0,4489.0
2020-06-16,8248,193.0,9767.0
2020-06-17,7843,194.0,10036.0
2020-06-18,7790,182.0,9621.0
2020-06-19,7972,181.0,10443.0
2020-06-20,7889,161.0,10186.0
2020-06-21,7728,109.0,5119.0
2020-06-22,7600,95.0,4705.0
2020-06-23,7425,153.0,12013.0
2020-06-24,7176,154.0,12393.0
2020-06-25,7113,92.0,6342.0
2020-06-26,6800,176.0,8988.0
2020-06-27,6852,188.0,9200.0
2020-06-28,6791,104.0,5735.0
2020-06-29,6719,93.0,4343.0
2020-06-30,6693,154.0,9220.0
2020-07-01,6556,216.0,10281.0
2020-07-02,6760,147.0,6047.0
2020-07-03,6718,176.0,8915.0
2020-07-04,6632,168.0,8986.0
2020-07-05,6736,134.0,3871.0
2020-07-06,6611,135.0,3579.0
2020-07-07,6368,198.0,9551.0
2020-07-08,6562,173.0,8631.0
2020-07-09,6509,176.0,8805.0
2020-07-10,6635,174.0,7752.0
2020-07-11,6611,188.0,7139.0
2020-07-12,6615,130.0,3615.0
2020-07-13,6537,104.0,2960.0
2020-07-14,6248,175.0,8804.0
2020-07-15,6422,156.0,10424.0
2020-07-16,6428,167.0,8443.0
2020-07-17,6406,186.0,7681.0
2020-07-18,6234,124.0,7490.0
2020-07-19,6109,95.0,3481.0
2020-07-20,5940,85.0,3258.0
2020-07-21,5842,153.0,8745.0
2020-07-22,5862,165.0,9669.0
2020-07-23,5848,147.0,8277.0
2020-07-24,5811,154.0,8444.0
2020-07-25,5871,146.0,8366.0
2020-07-26,5765,77.0,3110.0
2020-07-27,5635,85.0,3079.0
2020-07-28,5395,150.0,8888.0
2020-07-29,5475,169.0,8116.0
2020-07-30,5509,129.0,9322.0
2020-07-31,5482,161.0,8755.0
2020-08-01,5462,95.0,8114.0
2020-08-02,5427,70.0,3649.0
2020-08-03,5394,79.0,3420.0
2020-08-04,5159,144.0,7878.0
2020-08-05,5204,139.0,7555.0
2020-08-06,5267,116.0,7331.0
2020-08-07,5241,119.0,7235.0
2020-08-08,5212,129.0,6615.0
2020-08-09,5189,77.0,3215.0
2020-08-10,5118,70.0,3259.0
2020-08-11,4945,130.0,6494.0
2020-08-12,5102,129.0,7123.0
2020-08-13,5057,124.0,6098.0
2020-08-14,5065,107.0,6568.0
2020-08-15,5061,119.0,6447.0
2020-08-16,4969,68.0,3557.0
2020-08-17,4892,55.0,3133.0
2020-08-18,4748,132.0,6527.0
2020-08-20,4785,110.0,6090.0
2020-08-21,4870,90.0,5817.0
2020-08-22,4921,121.0,6147.0
2020-08-23,4852,73.0,3162.0
2020-08-24,4744,65.0,2456.0
2020-08-25,4696,120.0,6652.0
2020-08-26,4676,115.0,6403.0
2020-08-27,4711,121.0,6411.0
2020-08-28,4829,110.0,5905.0
2020-08-29,4941,111.0,5917.0
2020-08-30,4980,68.0,2599.0
2020-08-31,4993,83.0,2405.0
2020-09-01,4729,123.0,6318.0
2020-09-02,4952,115.0,5464.0
2020-09-03,4995,114.0,5766.0
2020-09-04,5110,121.0,5812.0
2020-09-05,5205,110.0,5379.0
2020-09-06,5195,61.0,2823.0
2020-09-07,5185,51.0,2328.0
2020-09-08,5099,122.0,6772.0
2020-09-09,5218,142.0,6409.0
2020-09-10,5363,128.0,5915.0
2020-09-11,5504,102.0,5734.0
2020-09-12,5488,119.0,5428.0
2020-09-13,5449,94.0,2690.0
2020-09-14,5509,57.0,2475.0
2020-09-15,5529,150.0,5605.0
2020-09-16,5670,132.0,5809.0
2020-09-17,5762,144.0,5754.0
2020-09-18,5905,134.0,5339.0
2020-09-19,6065,144.0,5255.0
2020-09-20,6148,79.0,2895.0
2020-09-21,6196,71.0,2616.0
2020-09-22,6215,160.0,5976.0
2020-09-23,6431,150.0,5750.0
2020-09-24,6595,149.0,6130.0
2020-09-25,7212,108.0,4317.0
2020-09-26,7523,169.0,6004.0
2020-09-27,7867,99.0,3068.0
2020-09-28,8135,61.0,2702.0
2020-09-29,8232,160.0,6479.0
2020-09-30,8481,151.0,5858.0
2020-10-01,8945,169.0,5985.0
2020-10-02,9412,186.0,6054.0
2020-10-03,9859,174.0,5563.0
2020-10-04,10499,107.0,3284.0
2020-10-05,10888,117.0,1112.0
2020-10-06,11615,188.0,6252.0
2020-10-07,11115,199.0,6699.0
2020-10-08,11493,191.0,7054.0
2020-10-09,12126,201.0,7092.0
2020-10-10,12846,191.0,6781.0
2020-10-11,13634,149.0,4240.0
2020-10-12,13592,125.0,3793.0
2020-10-13,13868,244.0,7550.0
2020-10-14,14231,239.0,7920.0
2020-10-15,13754,286.0,8392.0
2020-10-16,15150,232.0,8485.0
2020-10-17,14922,279.0,8617.0
2020-10-18,15099,185.0,5377.0
2020-10-19,15982,179.0,5328.0
2020-10-20,16319,269.0,9704.0
2020-10-21,15700,317.0,10629.0
2020-10-22,15971,290.0,11428.0
2020-10-23,17340,283.0,11263.0
2020-10-24,16521,296.0,11567.0
2020-10-25,16710,229.0,7703.0
2020-10-26,17347,219.0,7574.0
2020-10-27,16550,320.0,12844.0
2020-10-28,16202,346.0,12361.0
2020-10-29,17717,366.0,14740.0
2020-10-30,18283,355.0,14519.0
2020-10-31,18140,334.0,14854.0
2020-11-01,18665,245.0,10259.0
2020-11-02,18257,238.0,10360.0
2020-11-03,18648,355.0,15331.0
2020-11-04,19768,389.0,15567.0
2020-11-05,19404,292.0,12238.0
2020-11-06,20582,378.0,16955.0
2020-11-07,20396,364.0,16803.0
2020-11-08,20498,286.0,11492.0
2020-11-09,21798,256.0,10722.0
2020-11-10,20977,368.0,15600.0
2020-11-11,19851,432.0,18616.0
2020-11-12,21608,439.0,18811.0
2020-11-13,21983,411.0,18735.0
2020-11-14,22702,391.0,18626.0
2020-11-15,22572,352.0,14456.0
2020-11-16,22778,303.0,13864.0
2020-11-17,22410,442.0,22055.0
2020-11-18,20985,456.0,25179.0
2020-11-19,23610,463.0,25573.0
2020-11-20,24318,461.0,24758.0
2020-11-21,24822,467.0,26021.0
2020-11-22,24581,401.0,18008.0
2020-11-23,25173,361.0,16002.0
2020-11-24,24326,491.0,23226.0
2020-11-25,23675,507.0,25748.0
2020-11-26,25487,524.0,25073.0
2020-11-27,27543,496.0,26682.0
2020-11-28,27100,510.0,27296.0
2020-11-29,26683,459.0,21987.0
2020-11-30,26338,368.0,17247.0
2020-12-01,26402,569.0,24763.0
2020-12-02,25345,589.0,26882.0
2020-12-03,28145,554.0,29502.0
2020-12-04,27403,569.0,27901.0
2020-12-05,28782,508.0,27644.0
2020-12-06,29039,457.0,21342.0
2020-12-07,28142,456.0,18850.0
2020-12-08,26097,562.0,24938.0
2020-12-09,26190,559.0,26266.0
2020-12-10,27927,562.0,25877.0
2020-12-11,28585,613.0,26171.0
2020-12-12,28137,560.0,26118.0
2020-12-13,28080,488.0,20277.0
2020-12-14,27328,450.0,18562.0
2020-12-15,26689,577.0,24813.0
2020-12-16,26509,596.0,26490.0
2020-12-17,28214,587.0,26440.0
